Query,Join_size,True,Psql_est,Compass_estPlan
2a_32_0,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_32_1,2,99.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_32_2,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_32_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
2a_32_4,3,2000.0,91.0,-1,"['nation-n', 'region-r', 'supplier-s']"
2a_32_5,3,99.0,1.0,-1,"['part-p', 'partsupp-ps', 'supplier-s']"
2a_32_6,3,800000.0,258065.0,-1,"['nation-n', 'partsupp-ps', 'supplier-s']"
2a_32_7,4,160000.0,2348.0,-1,"['nation-n', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_32_8,4,99.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'supplier-s']"
2a_32_9,5,24.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_33_0,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_33_1,2,81.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_33_2,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_33_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
2a_33_4,3,2000.0,91.0,-1,"['nation-n', 'region-r', 'supplier-s']"
2a_33_5,3,81.0,1.0,-1,"['part-p', 'partsupp-ps', 'supplier-s']"
2a_33_6,3,800000.0,258065.0,-1,"['nation-n', 'partsupp-ps', 'supplier-s']"
2a_33_7,4,160000.0,2348.0,-1,"['nation-n', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_33_8,4,81.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'supplier-s']"
2a_33_9,5,18.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_34_0,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_34_1,2,84.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_34_2,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_34_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
2a_34_4,3,2000.0,91.0,-1,"['nation-n', 'region-r', 'supplier-s']"
2a_34_5,3,84.0,1.0,-1,"['part-p', 'partsupp-ps', 'supplier-s']"
2a_34_6,3,800000.0,258065.0,-1,"['nation-n', 'partsupp-ps', 'supplier-s']"
2a_34_7,4,160000.0,2348.0,-1,"['nation-n', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_34_8,4,84.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'supplier-s']"
2a_34_9,5,10.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_35_0,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_35_1,2,93.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_35_2,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_35_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
2a_35_4,3,2000.0,91.0,-1,"['nation-n', 'region-r', 'supplier-s']"
2a_35_5,3,93.0,1.0,-1,"['part-p', 'partsupp-ps', 'supplier-s']"
2a_35_6,3,800000.0,258065.0,-1,"['nation-n', 'partsupp-ps', 'supplier-s']"
2a_35_7,4,160000.0,2348.0,-1,"['nation-n', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_35_8,4,93.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'supplier-s']"
2a_35_9,5,19.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_36_0,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_36_1,2,78.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_36_2,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_36_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
2a_36_4,3,2000.0,91.0,-1,"['nation-n', 'region-r', 'supplier-s']"
2a_36_5,3,78.0,1.0,-1,"['part-p', 'partsupp-ps', 'supplier-s']"
2a_36_6,3,800000.0,258065.0,-1,"['nation-n', 'partsupp-ps', 'supplier-s']"
2a_36_7,4,160000.0,2348.0,-1,"['nation-n', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_36_8,4,78.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'supplier-s']"
2a_36_9,5,18.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_37_0,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_37_1,2,78.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_37_2,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_37_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
2a_37_4,3,2000.0,91.0,-1,"['nation-n', 'region-r', 'supplier-s']"
2a_37_5,3,78.0,1.0,-1,"['part-p', 'partsupp-ps', 'supplier-s']"
2a_37_6,3,800000.0,258065.0,-1,"['nation-n', 'partsupp-ps', 'supplier-s']"
2a_37_7,4,160000.0,2348.0,-1,"['nation-n', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_37_8,4,78.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'supplier-s']"
2a_37_9,5,18.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_38_0,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_38_1,2,81.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_38_2,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_38_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
2a_38_4,3,2000.0,91.0,-1,"['nation-n', 'region-r', 'supplier-s']"
2a_38_5,3,81.0,1.0,-1,"['part-p', 'partsupp-ps', 'supplier-s']"
2a_38_6,3,800000.0,258065.0,-1,"['nation-n', 'partsupp-ps', 'supplier-s']"
2a_38_7,4,160000.0,2348.0,-1,"['nation-n', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_38_8,4,81.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'supplier-s']"
2a_38_9,5,16.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_39_0,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_39_1,2,87.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_39_2,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_39_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
2a_39_4,3,2000.0,91.0,-1,"['nation-n', 'region-r', 'supplier-s']"
2a_39_5,3,87.0,1.0,-1,"['part-p', 'partsupp-ps', 'supplier-s']"
2a_39_6,3,800000.0,258065.0,-1,"['nation-n', 'partsupp-ps', 'supplier-s']"
2a_39_7,4,160000.0,2348.0,-1,"['nation-n', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_39_8,4,87.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'supplier-s']"
2a_39_9,5,17.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_4_0,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_4_1,2,87.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_4_2,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_4_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
2a_4_4,3,2000.0,91.0,-1,"['nation-n', 'region-r', 'supplier-s']"
2a_4_5,3,87.0,1.0,-1,"['part-p', 'partsupp-ps', 'supplier-s']"
2a_4_6,3,800000.0,258065.0,-1,"['nation-n', 'partsupp-ps', 'supplier-s']"
2a_4_7,4,160000.0,2348.0,-1,"['nation-n', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_4_8,4,87.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'supplier-s']"
2a_4_9,5,21.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_40_0,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_40_1,2,75.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_40_2,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_40_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
2a_40_4,3,2000.0,91.0,-1,"['nation-n', 'region-r', 'supplier-s']"
2a_40_5,3,75.0,1.0,-1,"['part-p', 'partsupp-ps', 'supplier-s']"
2a_40_6,3,800000.0,258065.0,-1,"['nation-n', 'partsupp-ps', 'supplier-s']"
2a_40_7,4,160000.0,2348.0,-1,"['nation-n', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_40_8,4,75.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'supplier-s']"
2a_40_9,5,18.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_41_0,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_41_1,2,66.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_41_2,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_41_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
2a_41_4,3,2000.0,91.0,-1,"['nation-n', 'region-r', 'supplier-s']"
2a_41_5,3,66.0,1.0,-1,"['part-p', 'partsupp-ps', 'supplier-s']"
2a_41_6,3,800000.0,258065.0,-1,"['nation-n', 'partsupp-ps', 'supplier-s']"
2a_41_7,4,160000.0,2348.0,-1,"['nation-n', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_41_8,4,66.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'supplier-s']"
2a_41_9,5,12.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_42_0,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_42_1,2,93.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_42_2,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_42_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
2a_42_4,3,2000.0,91.0,-1,"['nation-n', 'region-r', 'supplier-s']"
2a_42_5,3,93.0,1.0,-1,"['part-p', 'partsupp-ps', 'supplier-s']"
2a_42_6,3,800000.0,258065.0,-1,"['nation-n', 'partsupp-ps', 'supplier-s']"
2a_42_7,4,160000.0,2348.0,-1,"['nation-n', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_42_8,4,93.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'supplier-s']"
2a_42_9,5,17.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_43_0,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_43_1,2,75.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_43_2,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_43_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
2a_43_4,3,2000.0,91.0,-1,"['nation-n', 'region-r', 'supplier-s']"
2a_43_5,3,75.0,1.0,-1,"['part-p', 'partsupp-ps', 'supplier-s']"
2a_43_6,3,800000.0,258065.0,-1,"['nation-n', 'partsupp-ps', 'supplier-s']"
2a_43_7,4,160000.0,2348.0,-1,"['nation-n', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_43_8,4,75.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'supplier-s']"
2a_43_9,5,16.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_44_0,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_44_1,2,72.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_44_2,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_44_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
2a_44_4,3,2000.0,91.0,-1,"['nation-n', 'region-r', 'supplier-s']"
2a_44_5,3,72.0,1.0,-1,"['part-p', 'partsupp-ps', 'supplier-s']"
2a_44_6,3,800000.0,258065.0,-1,"['nation-n', 'partsupp-ps', 'supplier-s']"
2a_44_7,4,160000.0,2348.0,-1,"['nation-n', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_44_8,4,72.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'supplier-s']"
2a_44_9,5,12.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_45_0,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_45_1,2,87.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_45_2,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_45_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
2a_45_4,3,2000.0,91.0,-1,"['nation-n', 'region-r', 'supplier-s']"
2a_45_5,3,87.0,1.0,-1,"['part-p', 'partsupp-ps', 'supplier-s']"
2a_45_6,3,800000.0,258065.0,-1,"['nation-n', 'partsupp-ps', 'supplier-s']"
2a_45_7,4,160000.0,2348.0,-1,"['nation-n', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_45_8,4,87.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'supplier-s']"
2a_45_9,5,20.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_46_0,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_46_1,2,78.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_46_2,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_46_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
2a_46_4,3,2000.0,91.0,-1,"['nation-n', 'region-r', 'supplier-s']"
2a_46_5,3,78.0,1.0,-1,"['part-p', 'partsupp-ps', 'supplier-s']"
2a_46_6,3,800000.0,258065.0,-1,"['nation-n', 'partsupp-ps', 'supplier-s']"
2a_46_7,4,160000.0,2348.0,-1,"['nation-n', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_46_8,4,78.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'supplier-s']"
2a_46_9,5,19.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_47_0,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_47_1,2,87.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_47_2,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_47_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
2a_47_4,3,2000.0,91.0,-1,"['nation-n', 'region-r', 'supplier-s']"
2a_47_5,3,87.0,1.0,-1,"['part-p', 'partsupp-ps', 'supplier-s']"
2a_47_6,3,800000.0,258065.0,-1,"['nation-n', 'partsupp-ps', 'supplier-s']"
2a_47_7,4,160000.0,2348.0,-1,"['nation-n', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_47_8,4,87.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'supplier-s']"
2a_47_9,5,22.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_48_0,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_48_1,2,78.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_48_2,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_48_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
2a_48_4,3,2000.0,91.0,-1,"['nation-n', 'region-r', 'supplier-s']"
2a_48_5,3,78.0,1.0,-1,"['part-p', 'partsupp-ps', 'supplier-s']"
2a_48_6,3,800000.0,258065.0,-1,"['nation-n', 'partsupp-ps', 'supplier-s']"
2a_48_7,4,160000.0,2348.0,-1,"['nation-n', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_48_8,4,78.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'supplier-s']"
2a_48_9,5,22.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_49_0,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_49_1,2,78.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_49_2,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_49_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
2a_49_4,3,2000.0,91.0,-1,"['nation-n', 'region-r', 'supplier-s']"
2a_49_5,3,78.0,1.0,-1,"['part-p', 'partsupp-ps', 'supplier-s']"
2a_49_6,3,800000.0,258065.0,-1,"['nation-n', 'partsupp-ps', 'supplier-s']"
2a_49_7,4,160000.0,2348.0,-1,"['nation-n', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_49_8,4,78.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'supplier-s']"
2a_49_9,5,15.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_5_0,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_5_1,2,78.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_5_2,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_5_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
2a_5_4,3,2000.0,91.0,-1,"['nation-n', 'region-r', 'supplier-s']"
2a_5_5,3,78.0,1.0,-1,"['part-p', 'partsupp-ps', 'supplier-s']"
2a_5_6,3,800000.0,258065.0,-1,"['nation-n', 'partsupp-ps', 'supplier-s']"
2a_5_7,4,160000.0,2348.0,-1,"['nation-n', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_5_8,4,78.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'supplier-s']"
2a_5_9,5,14.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_50_0,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_50_1,2,78.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_50_2,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_50_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
2a_50_4,3,2000.0,91.0,-1,"['nation-n', 'region-r', 'supplier-s']"
2a_50_5,3,78.0,1.0,-1,"['part-p', 'partsupp-ps', 'supplier-s']"
2a_50_6,3,800000.0,258065.0,-1,"['nation-n', 'partsupp-ps', 'supplier-s']"
2a_50_7,4,160000.0,2348.0,-1,"['nation-n', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_50_8,4,78.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'supplier-s']"
2a_50_9,5,14.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_51_0,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_51_1,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_51_2,2,200000.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_51_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
2a_51_4,3,800000.0,258065.0,-1,"['nation-n', 'partsupp-ps', 'supplier-s']"
2a_51_5,3,2000.0,91.0,-1,"['nation-n', 'region-r', 'supplier-s']"
2a_51_6,3,200000.0,1.0,-1,"['part-p', 'partsupp-ps', 'supplier-s']"
2a_51_7,4,160000.0,2348.0,-1,"['nation-n', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_51_8,4,200000.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'supplier-s']"
2a_51_9,5,40000.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_52_0,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_52_1,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_52_2,2,84.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_52_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
2a_52_4,3,800000.0,258065.0,-1,"['nation-n', 'partsupp-ps', 'supplier-s']"
2a_52_5,3,2000.0,91.0,-1,"['nation-n', 'region-r', 'supplier-s']"
2a_52_6,3,84.0,1.0,-1,"['part-p', 'partsupp-ps', 'supplier-s']"
2a_52_7,4,160000.0,2348.0,-1,"['nation-n', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_52_8,4,84.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'supplier-s']"
2a_52_9,5,8.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_53_0,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_53_1,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_53_2,2,75.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_53_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
2a_53_4,3,800000.0,258065.0,-1,"['nation-n', 'partsupp-ps', 'supplier-s']"
2a_53_5,3,2000.0,91.0,-1,"['nation-n', 'region-r', 'supplier-s']"
2a_53_6,3,75.0,1.0,-1,"['part-p', 'partsupp-ps', 'supplier-s']"
2a_53_7,4,160000.0,2348.0,-1,"['nation-n', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_53_8,4,75.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'supplier-s']"
2a_53_9,5,8.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_54_0,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_54_1,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_54_2,2,99.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_54_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
2a_54_4,3,800000.0,258065.0,-1,"['nation-n', 'partsupp-ps', 'supplier-s']"
2a_54_5,3,2000.0,91.0,-1,"['nation-n', 'region-r', 'supplier-s']"
2a_54_6,3,99.0,1.0,-1,"['part-p', 'partsupp-ps', 'supplier-s']"
2a_54_7,4,160000.0,2348.0,-1,"['nation-n', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_54_8,4,99.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'supplier-s']"
2a_54_9,5,17.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_55_0,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_55_1,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_55_2,2,90.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_55_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
2a_55_4,3,800000.0,258065.0,-1,"['nation-n', 'partsupp-ps', 'supplier-s']"
2a_55_5,3,2000.0,91.0,-1,"['nation-n', 'region-r', 'supplier-s']"
2a_55_6,3,90.0,1.0,-1,"['part-p', 'partsupp-ps', 'supplier-s']"
2a_55_7,4,160000.0,2348.0,-1,"['nation-n', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_55_8,4,90.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'supplier-s']"
2a_55_9,5,18.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_56_0,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_56_1,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_56_2,2,99.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_56_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
2a_56_4,3,800000.0,258065.0,-1,"['nation-n', 'partsupp-ps', 'supplier-s']"
2a_56_5,3,2000.0,91.0,-1,"['nation-n', 'region-r', 'supplier-s']"
2a_56_6,3,99.0,1.0,-1,"['part-p', 'partsupp-ps', 'supplier-s']"
2a_56_7,4,160000.0,2348.0,-1,"['nation-n', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_56_8,4,99.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'supplier-s']"
2a_56_9,5,17.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_57_0,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_57_1,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_57_2,2,78.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_57_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
2a_57_4,3,800000.0,258065.0,-1,"['nation-n', 'partsupp-ps', 'supplier-s']"
2a_57_5,3,2000.0,91.0,-1,"['nation-n', 'region-r', 'supplier-s']"
2a_57_6,3,78.0,1.0,-1,"['part-p', 'partsupp-ps', 'supplier-s']"
2a_57_7,4,160000.0,2348.0,-1,"['nation-n', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_57_8,4,78.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'supplier-s']"
2a_57_9,5,14.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_58_0,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_58_1,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_58_2,2,87.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_58_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
2a_58_4,3,800000.0,258065.0,-1,"['nation-n', 'partsupp-ps', 'supplier-s']"
2a_58_5,3,2000.0,91.0,-1,"['nation-n', 'region-r', 'supplier-s']"
2a_58_6,3,87.0,1.0,-1,"['part-p', 'partsupp-ps', 'supplier-s']"
2a_58_7,4,160000.0,2348.0,-1,"['nation-n', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_58_8,4,87.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'supplier-s']"
2a_58_9,5,12.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_59_0,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_59_1,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_59_2,2,99.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_59_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
2a_59_4,3,800000.0,258065.0,-1,"['nation-n', 'partsupp-ps', 'supplier-s']"
2a_59_5,3,2000.0,91.0,-1,"['nation-n', 'region-r', 'supplier-s']"
2a_59_6,3,99.0,1.0,-1,"['part-p', 'partsupp-ps', 'supplier-s']"
2a_59_7,4,160000.0,2348.0,-1,"['nation-n', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_59_8,4,99.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'supplier-s']"
2a_59_9,5,26.0,1.0,-1,"['nation-n', 'part-p', 'partsupp-ps', 'region-r', 'supplier-s']"
2a_6_0,2,800000.0,258065.0,-1,"['partsupp-ps', 'supplier-s']"
2a_6_1,2,75.0,1.0,-1,"['part-p', 'partsupp-ps']"
2a_6_2,2,10000.0,10000.0,-1,"['nation-n', 'supplier-s']"
2a_6_3,2,5.0,1.0,-1,"['nation-n', 'region-r']"
