Query,Join_size,True,Psql_est,Compass_estPlan
10_20_2,2,444728.0,44544.0,-1,"['lineitem-l', 'orders-o']"
10_20_3,3,122754.0,37847.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_20_4,3,444728.0,44544.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_20_5,4,444728.0,44544.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_21_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_21_1,2,123973.0,38137.0,-1,"['customer-c', 'orders-o']"
10_21_2,2,446544.0,44885.0,-1,"['lineitem-l', 'orders-o']"
10_21_3,3,123973.0,38137.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_21_4,3,446544.0,44885.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_21_5,4,446544.0,44885.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_22_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_22_1,2,121926.0,40374.0,-1,"['customer-c', 'orders-o']"
10_22_2,2,443944.0,47518.0,-1,"['lineitem-l', 'orders-o']"
10_22_3,3,121926.0,40374.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_22_4,3,443944.0,47518.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_22_5,4,443944.0,47518.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_23_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_23_1,2,120774.0,39031.0,-1,"['customer-c', 'orders-o']"
10_23_2,2,220744.0,45937.0,-1,"['lineitem-l', 'orders-o']"
10_23_3,3,120774.0,39031.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_23_4,3,220744.0,45937.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_23_5,4,220744.0,45937.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_24_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_24_1,2,120202.0,36964.0,-1,"['customer-c', 'orders-o']"
10_24_2,2,440937.0,43504.0,-1,"['lineitem-l', 'orders-o']"
10_24_3,3,120202.0,36964.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_24_4,3,440937.0,43504.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
