query,join_size,true,psql_est,compass_est,plan
34_2,3,2873214,3209278,1.72359e+07,"['cast_info-ci', 'movie_companies-mc', 'title-t']"
35_0,2,26775477,14765201,2.11672e+07,"['cast_info-ci', 'title-t']"
35_1,2,1508127,1061428,1.5325e+06,"['movie_companies-mc', 'title-t']"
35_2,3,56965403,40733109,5.79216e+07,"['cast_info-ci', 'movie_companies-mc', 'title-t']"
36_0,2,97755,70834,84040,"['movie_companies-mc', 'title-t']"
36_1,2,107622,82814,104663,"['movie_info_idx-mi_idx', 'title-t']"
36_2,2,39862,24545,42813,"['movie_info-mi', 'title-t']"
36_3,3,118187,219100,838934,"['movie_companies-mc', 'movie_info_idx-mi_idx', 'title-t']"
36_4,3,52944,64939,253155,"['movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
36_5,3,45776,86199,238221,"['movie_companies-mc', 'movie_info-mi', 'title-t']"
36_6,4,75440,228054,1.04103e+07,"['movie_companies-mc', 'movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
37_0,2,2609129,1534782,2.72069e+06,"['movie_companies-mc', 'title-t']"
37_1,2,121863,76030,115767,"['movie_info_idx-mi_idx', 'title-t']"
37_2,2,10,1,75.0463,"['movie_info-mi', 'title-t']"
37_3,3,360355,393847,1.75194e+06,"['movie_companies-mc', 'movie_info_idx-mi_idx', 'title-t']"
37_4,3,120,3,5090.49,"['movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
37_5,3,4,1,403.295,"['movie_companies-mc', 'movie_info-mi', 'title-t']"
37_6,4,72,1,43395.3,"['movie_companies-mc', 'movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
38_0,2,381320,262797,398987,"['movie_companies-mc', 'title-t']"
38_1,2,435634,307244,450033,"['movie_info_idx-mi_idx', 'title-t']"
38_2,2,157251,91064,164179,"['movie_info-mi', 'title-t']"
38_3,3,474153,812868,1.22621e+06,"['movie_companies-mc', 'movie_info_idx-mi_idx', 'title-t']"
38_4,3,207561,240926,668978,"['movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
38_5,3,185501,319799,565884,"['movie_companies-mc', 'movie_info-mi', 'title-t']"
38_6,4,305691,846085,1.54862e+07,"['movie_companies-mc', 'movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
39_0,2,640620,203361,609231,"['movie_companies-mc', 'title-t']"
39_1,2,1083597,451552,941622,"['movie_info_idx-mi_idx', 'title-t']"
39_2,2,209880,70468,207210,"['movie_info-mi', 'title-t']"
39_3,3,2250196,1194661,1.98404e+06,"['movie_companies-mc', 'movie_info_idx-mi_idx', 'title-t']"
39_4,3,302610,186436,479184,"['movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
39_5,3,724731,470005,514166,"['movie_companies-mc', 'movie_info-mi', 'title-t']"
39_6,4,1919495,1243481,2.38412e+07,"['movie_companies-mc', 'movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
3_0,2,21454165,11787916,1.6841e+07,"['cast_info-ci', 'title-t']"
40_0,2,108646,30502,103542,"['movie_info_idx-mi_idx', 'title-t']"
40_1,2,17526,10860,21101,"['movie_info-mi', 'title-t']"
40_2,2,164339,106396,232121,"['movie_keyword-mk', 'title-t']"
40_3,3,110975,110744,2.18765e+06,"['movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
40_4,3,209492,415294,2.09379e+06,"['movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
40_5,3,20716,31749,163131,"['movie_info-mi', 'movie_keyword-mk', 'title-t']"
40_6,4,150780,432265,3.8803e+07,"['movie_info-mi', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
41_0,2,705350,197927,677186,"['movie_info_idx-mi_idx', 'title-t']"
41_1,2,209880,70468,209751,"['movie_info-mi', 'title-t']"
41_2,2,2886675,690388,2.85019e+06,"['movie_keyword-mk', 'title-t']"
41_3,3,2503305,718601,3.45362e+06,"['movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
41_4,3,3643079,2694788,1.02263e+07,"['movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
41_5,3,238948,206016,409481,"['movie_info-mi', 'movie_keyword-mk', 'title-t']"
